x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,Q_W_per_m,dP_Pa
4.361005e+00,6.324442e+00,5.630975e+00,7.962620e+00,7.825293e+00,6.537581e+00,6.137730e+00,4.726377e+00,6.975150e+00,6.116473e+00,5.873611e+00,6.460706e+00,6.552135e+00,7.811444e+00,5.258112e+00,7.555044e+00,7.797137e+00,5.951609e+00,4.844094e-01,4.124142e-01,4.721179e-01,3.688652e-01,4.471300e-01,4.318277e-01,4.128284e-01,3.188519e-01,4.688181e-01,4.530909e-01,4.060697e-01,3.101284e-01,3.879368e-01,3.507684e-01,4.906779e-01,3.921750e-01,3.981536e-01,4.371390e-01,1.301199e+04,7.899672e+03
7.147443e+00,5.137918e+00,6.194694e+00,4.138197e+00,5.668082e+00,5.021543e+00,4.082941e+00,7.608957e+00,4.334283e+00,5.162212e+00,6.673804e+00,4.861199e+00,5.705826e+00,5.364811e+00,7.853350e+00,5.900671e+00,5.537317e+00,6.242740e+00,3.767317e-01,3.914868e-01,3.308318e-01,4.486411e-01,3.731088e-01,3.815756e-01,3.077538e-01,4.738199e-01,3.449077e-01,3.731315e-01,3.983406e-01,4.315497e-01,4.759880e-01,4.719129e-01,3.551036e-01,4.295308e-01,4.638552e-01,3.877702e-01,1.337406e+04,9.341007e+03
6.239088e+00,7.066077e+00,4.006157e+00,6.175685e+00,4.738896e+00,4.044201e+00,7.847302e+00,6.366068e+00,5.037314e+00,4.256057e+00,7.533193e+00,5.810715e+00,7.090411e+00,6.768014e+00,6.334397e+00,6.537716e+00,4.059389e+00,4.519288e+00,3.247648e-01,4.838296e-01,4.084207e-01,4.951016e-01,4.566700e-01,4.869999e-01,4.742793e-01,4.389354e-01,4.021791e-01,3.232864e-01,4.608800e-01,4.973807e-01,3.419480e-01,3.248832e-01,4.442426e-01,4.992205e-01,4.108510e-01,3.333371e-01,1.286157e+04,9.948936e+03
5.269056e+00,4.377600e+00,7.569388e+00,5.976426e+00,6.771138e+00,7.528528e+00,5.931902e+00,5.498564e+00,7.647423e+00,7.460380e+00,4.982999e+00,7.398625e+00,4.182809e+00,4.336951e+00,4.804652e+00,4.879433e+00,6.291635e+00,7.286264e+00,4.137172e-01,3.138330e-01,3.890570e-01,3.248960e-01,3.322708e-01,3.371453e-01,3.551408e-01,3.933912e-01,3.778536e-01,4.028353e-01,3.435851e-01,3.689006e-01,4.285068e-01,4.024845e-01,3.079847e-01,3.368891e-01,3.265543e-01,4.917811e-01,1.344960e+04,9.371484e+03
5.680170e+00,7.571781e+00,6.724506e+00,5.401190e+00,6.078438e+00,6.134041e+00,7.073636e+00,6.772840e+00,5.857213e+00,5.885504e+00,7.037506e+00,7.919590e+00,7.808673e+00,5.984904e+00,4.341903e+00,4.169092e+00,6.882049e+00,7.802604e+00,3.414766e-01,4.402710e-01,4.987045e-01,3.753509e-01,4.768049e-01,3.129037e-01,3.774447e-01,4.231002e-01,4.252908e-01,3.905498e-01,4.328093e-01,3.328490e-01,3.174561e-01,3.987192e-01,3.414174e-01,4.558230e-01,4.795571e-01,3.581445e-01,1.333727e+04,8.720293e+03
6.842951e+00,4.883301e+00,5.160795e+00,6.702072e+00,4.423180e+00,5.680873e+00,5.143067e+00,5.905512e+00,7.465861e+00,6.839476e+00,4.477547e+00,5.261430e+00,4.964548e+00,7.433538e+00,6.812016e+00,6.264842e+00,4.641865e+00,4.003172e+00,4.462257e-01,3.573899e-01,3.042446e-01,4.047545e-01,3.027610e-01,4.627553e-01,4.958200e-01,3.717203e-01,3.509348e-01,4.855719e-01,3.655095e-01,4.114231e-01,4.059222e-01,4.770871e-01,4.059407e-01,3.181742e-01,3.576530e-01,4.169860e-01,1.333030e+04,9.423407e+03
7.809596e+00,6.818436e+00,7.099322e+00,4.734920e+00,5.478434e+00,4.627424e+00,6.911916e+00,4.131312e+00,6.169377e+00,7.745814e+00,5.368189e+00,4.316674e+00,6.333873e+00,4.964920e+00,7.250221e+00,5.175681e+00,5.136368e+00,6.726987e+00,4.552205e-01,4.680746e-01,4.319316e-01,4.515065e-01,4.176434e-01,3.682775e-01,3.346477e-01,3.409371e-01,4.957126e-01,4.358336e-01,4.780005e-01,4.705829e-01,3.651570e-01,3.261665e-01,3.950794e-01,3.605939e-01,3.168582e-01,4.619586e-01,1.344598e+04,1.007984e+04
4.713221e+00,5.631909e+00,4.536099e+00,7.410844e+00,7.008722e+00,7.173889e+00,4.871254e+00,7.013838e+00,4.529001e+00,4.541903e+00,6.178149e+00,6.971051e+00,5.424088e+00,6.397858e+00,5.845349e+00,7.267521e+00,7.404118e+00,5.467335e+00,3.566973e-01,3.358251e-01,3.655463e-01,3.308919e-01,3.932206e-01,4.185143e-01,4.420838e-01,4.892409e-01,3.218203e-01,3.403888e-01,3.202755e-01,3.990614e-01,4.520820e-01,4.480762e-01,4.587238e-01,4.232183e-01,4.449551e-01,3.129872e-01,1.335287e+04,8.547288e+03
4.847511e+00,7.352180e+00,7.480847e+00,6.829168e+00,5.899168e+00,7.791822e+00,7.396055e+00,6.579038e+00,5.534421e+00,7.118936e+00,6.466227e+00,6.089383e+00,4.702476e+00,4.507400e+00,6.015764e+00,4.419381e+00,4.288920e+00,7.169791e+00,3.300200e-01,4.963182e-01,4.771406e-01,4.145016e-01,4.040088e-01,3.054213e-01,4.857287e-01,3.038356e-01,3.321640e-01,4.930613e-01,3.598869e-01,4.561462e-01,3.076396e-01,4.146382e-01,4.772335e-01,4.700379e-01,4.540727e-01,4.676642e-01,1.323388e+04,9.355964e+03
7.629433e+00,4.165654e+00,4.919070e+00,5.005050e+00,7.618879e+00,4.276031e+00,5.324616e+00,5.711618e+00,7.144519e+00,4.164628e+00,5.017581e+00,4.747658e+00,7.539990e+00,6.075104e+00,4.611079e+00,6.015041e+00,6.048493e+00,4.901610e+00,4.314965e-01,3.013185e-01,3.199342e-01,3.913359e-01,3.788278e-01,4.548083e-01,3.908106e-01,4.521146e-01,4.564651e-01,3.823768e-01,4.425886e-01,3.775668e-01,4.187859e-01,3.111665e-01,3.627041e-01,3.074745e-01,3.821547e-01,3.072664e-01,1.335774e+04,9.580581e+03
